KO,1/4/1995,25.88,25.88,25.19,25.32,1622300,-0.56,-2.16%
WMT,1/4/1995,10.44,10.81,10.31,10.81,3896100,0.38,3.59%
MSFT,1/5/1995,3.805,3.812,3.711,3.727,2489000,-0.06,-1.65%
KO,1/5/1995,25.32,25.38,24.94,25.19,2120000,-0.12,-0.49%
WMT,1/5/1995,11,11.12,10.81,10.94,4819100,0.12,1.16%
KO,1/6/1995,25.19,25.32,25,25.19,1351300,0,0.00%
WMT,1/6/1995,11,11.12,10.75,11,4310500,0.06,0.59%
MSFT,1/6/1995,3.743,3.828,3.734,3.789,2917600,0.06,1.68%
KO,1/9/1995,25.12,25.12,24.75,24.82,1471400,-0.38,-1.49%
MSFT,1/9/1995,3.805,3.812,3.734,3.766,2875000,-0.02,-0.63%
WMT,1/9/1995,10.94,11,10.81,10.94,2281700,-0.06,-0.59%
WMT,1/10/1995,11,11,10.75,10.75,2705200,-0.19,-1.69%
KO,1/10/1995,24.82,24.94,24.5,24.57,1863800,-0.25,-1.01%
MSFT,1/10/1995,3.789,3.844,3.781,3.812,2636500,0.05,1.24%
KO,1/11/1995,24.57,24.75,24.5,24.62,1954800,0.06,0.24%
MSFT,1/11/1995,3.821,3.859,3.797,3.836,1969500,0.02,0.62%
WMT,1/11/1995,10.81,11,10.75,11,2874100,0.25,2.33%
WMT,1/12/1995,11,11,10.69,10.75,1762500,-0.25,-2.27%
MSFT,1/12/1995,3.828,3.883,3.812,3.828,1687300,-0.01,-0.21%
KO,1/12/1995,24.62,24.94,24.38,24.88,2088000,0.25,1.02%
KO,1/13/1995,24.88,25.25,24.82,24.88,2467500,0,0.00%
WMT,1/13/1995,10.94,11,10.75,11,2940300,0.25,2.33%
MSFT,1/13/1995,3.875,3.938,3.868,3.922,2581700,0.09,2.45%
WMT,1/16/1995,11,11.06,10.81,10.81,2843000,-0.19,-1.73%
KO,1/16/1995,25.07,25.44,25.07,25.32,1444400,0.44,1.77%
MSFT,1/16/1995,3.953,4.031,3.938,4.008,4665500,0.09,2.18%
WMT,1/17/1995,10.75,10.88,10.69,10.75,3373600,-0.06,-0.56%
KO,1/17/1995,25.32,25.62,25.32,25.44,1288300,0.12,0.49%
MSFT,1/17/1995,4.047,4.07,4.023,4.039,4620800,0.03,0.78%
WMT,1/18/1995,10.75,10.81,10.5,10.62,2872300,-0.12,-1.16%
KO,1/18/1995,25.38,25.38,25.12,25.25,1140800,-0.19,-0.75%
MSFT,1/18/1995,4.054,4.078,4.016,4.066,3156500,0.03,0.68%
MSFT,1/19/1995,4.031,4.062,3.965,3.969,4194300,-0.1,-2.40%
WMT,1/19/1995,10.56,10.62,10.5,10.56,2071700,-0.06,-0.61%
